id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1224048536758706177,Sun Feb 02 19:14:47 +0000 2020,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ANGELS IN HELL: CULTURE of MISOGYNY Inside VICTORIA'S SECRET
-NewYorkTimes
https://t.co/xW327Q1t4e…
#LesWexner… https://t.co/MoUTiJphaG",ANGELS IN HELL CULTURE MISOGYNY Inside VICTORIA 'S SECRET -NewYorkTimes …,"Sentiment(polarity=-0.4, subjectivity=0.7)",-0.4,0.7,en,0,0,Roxann_Minerals,False,LesWexner,,,
1224047849463115776,Sun Feb 02 19:12:03 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@keyakahe #Delhi the world capital city of rape is supporting rapists attitude in its governance and judicial rulin… https://t.co/CUBehWsuLo,world capital city rape supporting rapists attitude governance judicial rulin…,"Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25,en,0,0,Sanyals007,,Delhi,keyakahe,,
1224046733652647936,Sun Feb 02 19:07:37 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Its like telling a #rape victim you screwed up every opportunity of surrendering to your rapist!
END #IsraeliCrimes… https://t.co/RswcT0eAYy",Its telling a victim screwed opportunity surrendering rapist END …,"Sentiment(polarity=-0.07500000000000001, subjectivity=0.05)",-0.07500000000000001,0.05,en,0,0,Ahmad_Athens,False,"rape, IsraeliCrimes",,,
1224046509232136192,Sun Feb 02 19:06:44 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @joelle47019650: Suckerz 
Y’all disgusting 

#Februdairy

#DitchDairy 

#GoVegan

#endspeciesism  #rape https://t.co/kbgcShgfim",Suckerz Y ’ disgusting,"Sentiment(polarity=-1.0, subjectivity=1.0)",-1.0,1.0,en,0,5,QuicoCastro,False,"Februdairy, DitchDairy, GoVegan, endspeciesism, rape",joelle47019650,Argentina,
1224044710320377857,Sun Feb 02 18:59:35 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @joelle47019650: Suckerz 
Y’all disgusting 

#Februdairy

#DitchDairy 

#GoVegan

#endspeciesism  #rape https://t.co/kbgcShgfim",Suckerz Y ’ disgusting,"Sentiment(polarity=-1.0, subjectivity=1.0)",-1.0,1.0,en,0,5,ukmav,False,"Februdairy, DitchDairy, GoVegan, endspeciesism, rape",joelle47019650,I am constantly amazed,
1224043803763531777,Sun Feb 02 18:55:59 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Higgs1978: 4 steps that can help in your hr of need whether #rape / #abuse

1. I did not consent to what has just happened.
2. This was…",4 steps hr 1 I consent happened 2 This was…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,31,ms_rbarry,,"rape, abuse",Higgs1978,,
1224042622752178176,Sun Feb 02 18:51:17 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @joelle47019650: Suckerz 
Y’all disgusting 

#Februdairy

#DitchDairy 

#GoVegan

#endspeciesism  #rape https://t.co/kbgcShgfim",Suckerz Y ’ disgusting,"Sentiment(polarity=-1.0, subjectivity=1.0)",-1.0,1.0,en,0,5,GaneshArikere,False,"Februdairy, DitchDairy, GoVegan, endspeciesism, rape",joelle47019650,"Mangalore,India",
1224042302181691394,Sun Feb 02 18:50:01 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","it's not #disaster
is #great #cleaning from #up #above
#holy #Spirit is #comin and #delete the #people that only… https://t.co/oLRXRf701F",'s only…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,alba_dalai,False,"disaster, great, cleaning, up, above, holy, Spirit, comin, delete, people",,PlanetEarth,
1224041886224130048,Sun Feb 02 18:48:21 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@LouDobbs @20animals @WSJ @realDonaldTrump it's not #disaster
is #great #cleaning from #up #above
#holy #Spirit is… https://t.co/NtlAEwomiv",'s is…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,alba_dalai,,"disaster, great, cleaning, up, above, holy, Spirit","LouDobbs, 20animals, WSJ, realDonaldTrump",PlanetEarth,
1224040273203945472,Sun Feb 02 18:41:57 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @_1BUV: A #BuzzFeed senior reporter who accused Zero Hedge of ‘#Doxing' a Chinese scientist has #Reportedly left a disturbing internet f…,A senior reporter accused Zero Hedge ‘ a Chinese scientist left a disturbing internet f…,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.26666666666666666)",-0.16666666666666666,0.26666666666666666,en,0,1,CynicalGirl_,,"BuzzFeed, Doxing, Reportedly",_1BUV,United States,
1224038571889348609,Sun Feb 02 18:35:11 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @pmartinauthor: #Book Against Her Will by Peter Martin - #Suspense #Mystery #Dark #Disturbing #Gripping #Thriller #Rape #Drama #Romance…,Against Her Will Peter Martin …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,pmartinauthor,False,"Book, Suspense, Mystery, Dark, Disturbing, Gripping, Thriller, Rape, Drama, Romance",pmartinauthor,West Midlands,
1224038222373756931,Sun Feb 02 18:33:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Class 3 Girl Out to Relieve Herself Raped and Murdered by 20-year-old in #Tamil #Nadu #india #rape https://t.co/UOS994cCkt,Class 3 Girl Out Relieve Herself Raped Murdered 20-year-old,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,RapeWatch_IN,False,"Tamil, Nadu, india, rape",,"New Delhi, India",
1224038146012258306,Sun Feb 02 18:33:30 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Cop Among Four Arrested for 16-year-old Dalit Girl's Rape in #Odisha #india #rape https://t.co/L6hJqJOpAp,Cop Among Four Arrested 16-year-old Dalit Girl 's Rape,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,RapeWatch_IN,False,"Odisha, india, rape",,"New Delhi, India",
1224038093319278592,Sun Feb 02 18:33:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","15-year-old Dalit Girl Gang-raped in Haryana's Panipat, Suspects Arrested #india #rape https://t.co/mrjIy5x7xj",15-year-old Dalit Girl Gang-raped Haryana 's Panipat Suspects Arrested,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,RapeWatch_IN,False,"india, rape",,"New Delhi, India",
1224038043465719809,Sun Feb 02 18:33:05 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",36-year-old Woman Kidnapped and Gang-raped in Cotton Field in #Telangana #india #rape https://t.co/XgOVEuwMeT,36-year-old Woman Kidnapped Gang-raped Cotton Field,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,RapeWatch_IN,False,"Telangana, india, rape",,"New Delhi, India",
