id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1225149473476829200,Wed Feb 05 20:09:31 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Fraud_Panel: More than 40 people have been arrested in a crackdown on courier fraud across England and Wales. 👏 #fraud https://t.co/rlU…,More 40 people arrested a crackdown courier fraud England Wales,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,3,realFraudAssist,,fraud,Fraud_Panel,London,
1225149349216313346,Wed Feb 05 20:09:01 +0000 2020,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",MAG Mid-Year meetings are filling up! Let's get together and chat about your chargeback challenges.… https://t.co/Bh1Mr8bGPk,MAG Mid-Year meetings filling Let 's chat chargeback challenges.…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,ChargebackGurus,False,,,"Dallas, TX",
1225149190453547009,Wed Feb 05 20:08:23 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AnonCassi: #Justice #Unsealed
$56M Conspiracy To Defraud Medicare &amp; Receive Kickbacks In Exchange For Orders Of Orthotic Braces

ARREST…",56M Conspiracy To Defraud Medicare amp Receive Kickbacks In Exchange For Orders Of Orthotic Braces ARREST…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,55,ArkansasMAGAPa1,,"Justice, Unsealed",AnonCassi,"Hot Springs, AR",
1225149160166428672,Wed Feb 05 20:08:16 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @GoddessBianca06: THE BREAKING OF A WIFE

A wife email me and I had her on her knees, calling me Goddess and begging and that was just t…",THE BREAKING OF A WIFE A wife email I knees calling Goddess begging t…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,56,GoddessBianca06,,,GoddessBianca06,In your mind and never leaving,
1225149103056834562,Wed Feb 05 20:08:02 +0000 2020,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Our #AML &amp; #financialcrime experts are at the SIFMA AML &amp; Financial Crimes Conference in New York. Visit our booth… https://t.co/qRKtj1wkol,Our amp experts SIFMA AML amp Financial Crimes Conference New York Visit booth…,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",0.06818181818181818,0.22727272727272727,en,0,0,NavigantFinServ,False,"AML, financialcrime",,,
1225148843387281408,Wed Feb 05 20:07:01 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AnonCassi: #Justice #Unsealed
$56M Conspiracy To Defraud Medicare &amp; Receive Kickbacks In Exchange For Orders Of Orthotic Braces

ARREST…",56M Conspiracy To Defraud Medicare amp Receive Kickbacks In Exchange For Orders Of Orthotic Braces ARREST…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,55,JanMareeSmith2,,"Justice, Unsealed",AnonCassi,"Hobart, Tasmania",
1225148831777554432,Wed Feb 05 20:06:58 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@sleepwtheteddy coming from the girl w cow girl boots in the back her car. #fraud,coming girl w cow girl boots back car,"Sentiment(polarity=-0.06666666666666667, subjectivity=0.08333333333333333)",-0.06666666666666667,0.08333333333333333,en,0,0,Pruitt_Matthews,,fraud,sleepwtheteddy,,
1225148814933102592,Wed Feb 05 20:06:54 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@BiglyPrez @realdonaldtrump Your “random 3 a.m. tweets” do prove that your a #speedfreak. That’s why your  head and… https://t.co/gTtpm4qFtf,Your “ random 3 a.m. tweets ” prove a That ’ s head and…,"Sentiment(polarity=-0.5, subjectivity=0.5)",-0.5,0.5,en,0,0,barncat15,,speedfreak,"BiglyPrez, realDonaldTrump",,
1225148768162648066,Wed Feb 05 20:06:43 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@SenatorRomney This is why @realDonaldTrump is President of the United States and @SenatorRomney is NOT.… https://t.co/NhhxcacFi6,This President United States NOT.…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,deltalovey,,,"SenatorRomney, realDonaldTrump, SenatorRomney","MS, USA Will Travel to You",
1225148645806227456,Wed Feb 05 20:06:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",This is one of the reasons why @SenatorRomney failed at his run at president a lot of #Republicans know that he is… https://t.co/g8c31VYsa4,This reasons failed run president a lot is…,"Sentiment(polarity=-0.5, subjectivity=0.3)",-0.5,0.3,en,0,0,brandoncasey111,,Republicans,SenatorRomney,United States,
